month,Addiction,ADHD,Alcoholism,Aleppo,Amazon rainforest,Anger management,Anorexia,Anxiety,Australia fires,Bahamas,Bees,Beirut,Bipolar,Black Lives Matter,BPD,Breakup,Bulimia,Cancer,Climate change,Coronavirus,Depression,Eating disorder,Flint Michigan,Flood,Fort McMurray,Grief,Haiti,Hoarding,Homelessness,Houston,Hurricane Harvey,India,Kerala,Las Vegas,Louisiana,Mental illness,Migrant children,Narcissism,Nepal,OCD,Orlando,Palestine,Panic attack,Paris,Poverty,PTSD,Puerto Rico,Quitting smoking,Rape,Refugee,Schizophrenia,Seizure,Self harm,Self-esteem,"Shortness of breath, covid",Standing Rock,Sudan,Suicidal ideation,Syria,Texas,Wildfire,Yemen
Dec 2015,7.98,6.44,9.21,0.00,0.00,0.61,1.23,3.38,0.31,0.00,0.00,0.00,4.30,0.00,1.84,6.14,1.53,3.07,0.00,0.00,36.21,3.07,0.00,7.06,0.00,4.91,0.00,1.84,11.05,0.00,0.00,0.92,0.00,0.31,0.00,3.68,0.00,0.61,0.00,1.53,0.00,0.00,9.51,0.00,3.38,1.84,0.00,1.84,0.92,19.02,0.92,1.23,1.53,1.23,0.00,0.00,0.00,0.61,14.11,3.07,0.00,0.00
Jan 2016,8.78,4.70,10.66,0.00,0.00,0.00,2.51,1.57,0.31,0.00,0.63,0.00,2.51,0.00,0.63,8.15,0.63,2.82,0.00,0.00,36.36,1.88,5.01,0.31,0.00,4.07,0.63,2.19,4.39,0.94,0.00,1.88,0.00,0.31,0.31,4.70,0.00,0.31,0.00,1.25,0.31,0.00,4.70,0.31,3.76,2.19,0.00,0.94,2.82,5.95,2.51,0.94,1.57,2.19,0.00,0.00,0.00,0.31,6.58,0.94,0.00,0.00
Feb 2016,14.63,4.88,6.50,0.00,0.00,0.98,1.30,0.98,0.00,0.00,0.33,0.00,3.58,0.00,0.65,4.55,0.98,4.88,0.00,0.00,26.33,2.93,4.88,0.33,0.00,3.58,0.33,1.63,2.93,0.65,0.00,1.30,0.00,0.00,0.65,4.55,0.00,0.00,0.65,2.28,0.33,0.33,9.10,0.33,3.58,3.58,0.00,2.93,1.30,4.23,1.63,0.98,2.60,1.95,0.00,0.00,0.00,0.00,3.58,2.93,0.00,0.00
Mar 2016,15.11,5.55,4.63,0.00,0.00,0.62,2.16,0.93,0.00,0.31,0.31,0.00,4.32,0.31,1.23,2.16,0.00,4.32,0.00,0.00,36.70,0.31,2.47,0.00,0.31,6.17,0.00,1.23,3.39,0.31,0.00,1.54,0.00,0.31,0.00,4.01,0.00,0.62,0.00,1.54,0.31,0.00,6.48,0.00,2.16,2.16,0.31,1.54,0.93,8.02,2.16,0.31,1.85,3.08,0.00,0.00,0.00,0.62,4.32,0.93,0.00,0.00
Apr 2016,13.63,5.07,4.76,0.00,0.00,0.00,0.95,1.59,0.00,0.00,0.63,0.00,2.22,0.00,0.63,4.76,0.32,3.80,0.00,0.00,36.46,0.95,0.00,1.59,0.00,7.93,0.00,0.00,4.76,1.59,0.00,0.95,0.00,0.32,0.32,1.27,0.00,0.95,0.63,2.54,0.00,0.00,7.29,0.00,3.49,3.49,0.32,1.59,1.90,5.39,1.27,1.59,1.90,2.54,0.00,0.00,0.00,0.00,2.22,1.59,0.32,0.00
May 2016,10.58,5.29,9.02,0.00,0.62,0.62,2.49,3.42,0.00,0.00,0.62,0.00,4.98,0.00,0.62,4.04,0.93,4.36,0.00,0.00,30.18,1.56,0.00,0.62,9.64,4.98,0.00,0.93,6.53,0.31,0.00,1.87,0.00,0.62,0.00,3.11,0.00,0.00,0.31,2.18,0.00,0.00,5.60,0.00,4.98,2.49,0.93,1.56,0.62,3.42,1.24,1.56,0.93,3.11,0.00,0.00,0.31,0.00,2.80,1.24,0.62,0.00
Jun 2016,8.77,3.90,9.09,0.00,0.00,1.62,2.60,1.30,0.00,0.00,0.32,0.00,2.92,0.00,0.65,5.20,0.32,2.27,0.00,0.00,32.48,1.30,0.00,2.60,0.65,5.20,0.00,1.62,6.17,0.32,0.00,0.65,0.00,0.00,0.00,4.22,0.00,0.32,0.00,1.62,9.74,0.00,7.79,0.00,3.90,3.25,0.00,0.32,2.27,2.92,1.30,1.95,0.97,4.87,0.00,0.00,0.32,0.00,2.92,2.27,0.00,0.00
Jul 2016,9.70,2.68,7.03,0.00,0.33,0.33,1.00,3.01,0.00,0.00,1.34,0.00,4.35,1.34,0.67,4.01,1.67,5.02,0.00,0.00,30.11,0.67,0.67,0.00,0.00,2.34,0.00,1.34,6.02,0.00,0.00,2.68,0.00,0.00,0.67,3.68,0.00,0.00,0.33,2.01,0.33,0.33,8.36,0.33,2.68,3.01,0.00,2.01,2.01,2.68,1.67,1.34,1.34,2.01,0.00,0.00,0.00,0.00,2.34,1.00,0.00,0.00
Aug 2016,7.46,4.41,7.46,0.68,0.00,0.34,1.02,2.71,0.00,0.00,0.68,0.00,3.39,0.00,1.36,5.09,0.34,3.05,0.00,0.00,30.19,1.36,0.00,14.92,0.00,4.75,0.00,0.68,5.77,0.00,0.00,2.04,0.00,0.00,16.96,2.37,0.00,0.68,0.00,1.02,0.00,0.00,7.46,0.34,3.39,0.68,0.00,2.04,1.70,6.44,1.36,3.05,0.68,0.68,0.00,0.00,0.00,0.34,8.48,1.02,0.00,0.00
Sep 2016,8.25,8.58,4.95,0.99,0.00,0.33,1.98,1.98,0.00,0.00,0.33,0.00,3.30,0.00,0.99,6.93,0.99,2.64,0.00,0.00,35.97,0.99,0.66,0.66,0.00,4.29,0.33,0.99,4.62,0.66,0.00,1.32,0.33,0.00,1.32,1.98,0.00,0.00,0.33,1.98,0.33,0.00,8.58,0.00,1.32,4.29,0.00,1.98,0.99,7.26,2.97,1.65,0.00,2.97,0.00,0.66,0.00,0.00,6.93,0.33,0.00,1.98
